,YEAR SELECTOR,WKLY HRS,,DATE,IN,LUNCH IN,LUNCH OUT,OUT,,time,hours,EARN,skip lunch,PAYCHCK,Assumed tax,DATE RECIEVED,,bfr tax est total:,"$3,844.83",paychck tot:,"$2,706.34",Difference:,"$1,138.49",30%
,,,,Tue Jun 17,1:55 PM,6:21 PM,6:54 PM,8:33 PM,,6:05,6.08,$108.28,FALSE,,,,,,,,,,,
,,11.08,,Thu Jun 12,2:00 PM,,,8:30 PM,,6:30,6.50,$115.70,FALSE,$147.17,, Jun 18,,25% tax because messed up paycheck,,,,,,
,SUMMER ↑,,,Mon Jun 9,5:55 PM,,,10:30 PM,,4:35,4.58,$81.58,FALSE,,,,,starting day during summer,,,,,,
,WINTER BREAK ($17.30 pay),14.25,,Wed Jan 15,7:30 AM,,,1:15 PM,,5:45,5.75,$99.48,FALSE,$239.37,2.90%,,,estimated hours,,,,,,
,,,,Tue Jan 14,7:00 AM,,,11:30 AM,,4:30,4.50,$77.85,FALSE,,,,,estimated hours,,,,,,
,,,,Mon Jan 13,12:00 PM,,,4:00 PM,,4:00,4.00,$69.20,FALSE,,,,,estimated hours,,,,,,
,,14.00,,Wed Jan 8,4:00 PM,,,8:00 PM,,4:00,4.00,$69.20,FALSE,$65.45,5.42%,,,estimated hours,,,,,,
,,,,Fri Jan 3,8:00 AM,,,2:00 PM,,6:00,6.00,$103.80,FALSE,$225.02,7.09%,,,estimated hours. added 2 hours for MRP Meal Rest pay,,,,,,
,,,,Thu Jan 2,8:00 AM,,,12:00 PM,,4:00,4.00,$69.20,FALSE,,,,,estimated hours,,,,,,
,2024 ⬇️,,,Mon Dec 30,8:00 AM,,,12:00 PM,,4:00,4.00,$69.20,FALSE,,,,,estimated hours,,,,,,
,,8.50,,Tue Dec 24,7:30 AM,,,12:00 PM,,4:30,4.50,$77.72,FALSE,$138.81,5.44%,,,estimated hours,,,,,,
,,,,Mon Dec 23,8:00 AM,,,12:00 PM,,4:00,4.00,$69.08,FALSE,,,,,estimated hours,,,,,,
